id,original_dataset,original_id,original_question,original_answer,key_time,original_gold_evidence,question,exact_time,time_specifier,date_type,answer,gold_evidence_1,gold_evidence_2
1,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the time the Dodgers played the Yankees in the World Series?
",0,,,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.",
2,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the last time the Dodgers played the Yankees in the World Series as of 1981?
",1,as of,short,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1981"
3,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the last time the Dodgers played the Yankees in the World Series as of 1991?
",0,as of,short,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1982"
4,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the last time the Dodgers played the Yankees in the World Series before October 2, 2008?
",0,before,long,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1983"
5,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the last time the Dodgers played the Yankees in the World Series between 1979 and
1999?",0,between,short,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1984"
6,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.",When was the last time the Dodgers played the Yankees in the World Series after 1978?,0,after,short,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1985"
7,situatedqa,,when was the last time the dodgers played yankees in the world series as of 1991,1981,1981,"The Yankees won eight of those eleven contests, although the Dodgers defeated the Yankees in their last World Series matchup in 1981.","When was the last time the Dodgers played the Yankees in the World Series between August 21, 1979 and September 16, 1999?",0,between,long,1981,"In 1998, the Yankees celebrated the 20th anniversary of the 1977, 1978 and 1981 World Series that they played against the Los Angeles Dodgers, and invited some members of those Dodger teams.","although the Yankees subsequently met and beat the now-San Francisco Giants in 1962, and played the now-Los Angeles Dodgers four times, losing to them in a four-game sweep in 1963, beating them back-to-back in 1977 and 1978 and losing to them in 1986"
8,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.",Most home runs by 2 teammates in a season.,0,,,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
9,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.",Most home runs by 2 teammates in a season as of 1961.,1,as of,short,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
10,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.",Most home runs by 2 teammates in a season as of 1988.,0,as of,short,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
11,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.",Most home runs by 2 teammates in a season before 1988.,0,before,short,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
12,situatedqa,,most home runs by 2 teammates in a season as of 1988,Maris and Mantle,1961,"They gained prominence during the 1961 season, when Maris and Mantle, batting third and cleanup (fourth) in the Yankee lineup respectively, both challenged Babe Ruth's 34-year-old single-season record of 60 home runs. The home run lead would change hands between the two teammates numerous times throughout the summer and fueled intense scrutiny of the players by the press. Maris eventually broke the record when he hit his 61st home run on the final day of the season, while Mantle hit 54 before he was forced to pull out of the lineup in September because of an abscessed hip. Maris' record stood for 37 years until it was broken by Mark McGwire in. The duo, however, still hold the single-season record for combined home runs by a pair of teammates with 115.","Most home runs by 2 teammates in a season between October 1956 and May 26, 1993.",0,between,long,Maris and Mantle | Mantle and Maris | M&M Boys | Mickey Mantle and Roger Maris | Roger Maris and Mickey Mantle,"During their record-breaking season of 1961, the M&M Boys became the only teammates to join the 50 home run club in the same season, hitting a combined 115 home runs to break the single-season record for home runs by a pair of teammates.",
